cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
Berkeley_52,303.621,28.947,0.147,-4.292,-5.679,63,67.8969933234796,-3.1742057549949734,
Berkeley_53,313.975,51.06,0.247,-3.795,-5.682,558,90.29980475357141,3.7617011193871948,977.2367059324805
Berkeley_54,315.745,40.433,0.12,-3.091,-3.254,87,83.0758845612706,-4.133783715823101,2691.536695250797
Berkeley_55,319.232,51.762,0.309,-4.05,-4.618,107,93.02478854727073,1.804245155092505,199.5263191254866
Berkeley_56,319.391,41.835,0.047,-1.901,-1.831,68,85.97916287962863,-5.197308563820585,2951.211041237279
Berkeley_58,0.063,60.937,0.282,-3.498,-1.782,123,116.75371645843312,-1.3192645633130542,60.2559877171915
Berkeley_59,0.57,67.441,0.916,-1.616,-1.764,235,118.23004026240766,5.0191096066725285,
Berkeley_6,27.803,61.061,0.31,-0.857,-0.485,66,130.10079609058022,-0.9760212150557944,223.87231049868672
Berkeley_60,4.44,60.936,0.236,-0.682,-0.732,104,118.85138447016284,-1.668646201457692,371.5349680219835
Berkeley_61,12.04,67.199,0.309,-2.505,-0.014,40,122.61345187777438,4.329273116230295,181.9701817628807
Berkeley_62,15.309,63.918,0.36,-2.15,-0.353,84,124.00879693469568,1.066737443516205,14.791086480080835
Berkeley_63,34.858,63.718,0.172,-0.958,0.203,47,132.4883132197587,2.490896729764765,18.197018176288072
Berkeley_64,35.428,65.888,0.159,-0.511,0.998,41,131.98189025418537,4.6151047576898225,1230.26920306321
Berkeley_65,39.768,60.403,0.444,-0.7,-0.337,37,135.84800511755526,0.2587926270530862,97.72367059324804
Berkeley_66,46.03,58.731,0.158,-0.12,-0.191,25,139.430661550097,0.17592959898860563,3090.293803866819
Berkeley_67,69.472,50.755,0.415,2.316,-1.374,153,154.85148725076263,2.481436678896126,1258.926517592568
Berkeley_68,71.053,42.134,0.281,2.31,-1.312,200,162.0390756079581,-2.4041157850506156,2089.2946627203614
Berkeley_69,81.09,32.607,0.259,0.806,-1.937,99,174.4421929859452,-1.8527647415747108,794.3275370132719
Berkeley_7,28.546,62.366,0.337,-0.993,-0.13,89,130.13624520452444,0.3751511043475138,33.88443198353887
Berkeley_70,81.457,41.951,0.177,0.947,-1.864,137,166.86525377089762,3.628363377863442,2187.762392612301
Berkeley_71,85.233,32.272,0.226,0.65,-1.614,57,176.63154766087754,0.893922688196865,870.9627484287174
Berkeley_72,87.559,22.247,0.154,0.853,-0.261,55,186.2672958151562,-2.563885614480678,53.70318199557904
Berkeley_73,95.52,-6.321,0.128,0.227,1.11,45,215.2607434272175,-9.393047347889155,1412.5363038976318
Berkeley_75,102.252,-23.999,0.088,-0.264,1.088,39,234.30814971848955,-11.190886439641508,1698.2418624462762
Berkeley_76,106.672,-11.735,0.218,-0.58,1.4,37,225.102559365811,-1.9943151847621006,1659.5879278457614
Berkeley_77,110.362,-3.234,0.257,-1.001,-0.113,60,219.2530310283135,5.180673250358543,741.3100459583173
Berkeley_78,110.913,5.37,0.187,-0.071,-1.24,113,211.78770912549027,9.602549108576131,3890.4528168399447
Berkeley_79,281.25,-1.146,0.402,-0.118,-1.554,79,31.177921897559234,0.9094521736158401,173.77999128939916
Berkeley_8,30.306,75.489,0.25,2.65,0.439,250,127.35776411881308,13.22029618089548,3630.7840557743334
Berkeley_80,283.591,-1.214,0.39,-0.755,-2.667,72,32.18485798458128,-1.2045040969458467,158.48924964027185
Berkeley_81,285.419,-0.454,0.254,-1.204,-1.853,127,33.695298518625876,-2.4849228438401783,1148.1547308470717
Berkeley_82,287.845,13.111,0.708,0.178,-3.168,23,46.85223922674398,1.6106452082173754,104.71296517666539
Berkeley_83,300.356,28.645,0.092,-2.604,-4.692,30,66.09523104955144,-0.9301575495698036,239.88335511359205
Berkeley_85,304.692,37.744,0.22,-2.94,-4.677,310,75.6966503207474,0.9969074567269713,416.86927362111874
Berkeley_86,305.084,38.688,0.558,-3.447,-5.402,23,76.64978897200152,1.2759872557523269,10.964780998322171
Berkeley_87,305.396,37.433,0.573,-3.654,-6.264,112,75.75628587771187,0.3610082989258263,8.317639172213713
Berkeley_89,306.114,46.048,0.239,-2.014,-2.245,176,83.1435826020887,4.841167597667172,2089.2946627203614
Berkeley_9,53.167,52.649,0.513,1.493,0.037,142,146.0696796752849,-2.8247871888074956,1380.3853558382891
Berkeley_90,308.819,46.843,0.302,-2.829,-4.369,82,84.88278882023016,3.7934303295685234,5.12861429039393
Berkeley_91,317.711,48.543,0.203,-1.599,-2.927,32,90.0223272610143,0.2879405689240606,630.9576215861531
