source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,l,b,pf,type_best_classification
4657236349990704384,83.83975287916851,-70.11670844416966,-0.035367958691340906,0.022773044,1.7661484970365695,0.5735165819858992,15.425755,280.6934146626333,-31.83305535954528,,DCEP
4657250162611853696,84.82009402952627,-70.10997972172423,0.032852090436378156,0.038478345,1.9737969371915407,0.7576202026756482,16.440376,280.63453877114586,-31.503303284519998,,DCEP
4657407598879467136,87.73778684682847,-69.67526325790908,-0.028647367930726517,0.019035328,1.6964065166678841,0.8435601872870488,15.042512,280.0179749533091,-30.546420276677065,6.837997053399646,DCEP
5476735626334489856,90.37680004446916,-65.11166791676581,0.07926643344180703,0.06160615,1.5404983967530599,0.629518878956113,17.253084,274.7171494069186,-29.642974429925726,,DCEP
4685707585075153280,15.561395385459454,-73.35066284489385,-0.054419445876328694,0.024396464,0.8823325050833453,-1.344417401845385,15.368571,301.86049436135266,-43.755096497341945,5.54861901501032,DCEP
4685754245594471424,10.840957410917651,-74.04968810616191,0.03672352643527801,0.07116039,0.45207740605020125,-1.152960915781939,17.558832,303.69106230023993,-43.06665872052394,1.7263746962797595,DCEP
4685757372330547840,11.071031845570369,-73.94791532937167,-0.06375858285105934,0.05535185,0.5056341660670545,-1.1315941990783438,17.054726,303.60989353984934,-43.170916223945575,,DCEP
4685852200899088512,11.113492856138366,-73.2798135409017,-0.11941145969394426,0.17431872,0.029097221558923594,-0.6475801675624218,18.742395,303.6282449851477,-43.838992765740514,0.5822570063616527,DCEP
4685975522363968256,14.751332028900826,-72.6927638511813,-0.0010844830178162864,0.04489209,0.6893710158887072,-1.2612939101178278,16.621775,302.14397814558083,-44.42390686529454,,DCEP
4685990949889995520,15.026571521529767,-72.5014283829399,-0.08308901440951698,0.04544459,0.9136827465545672,-1.267110967733975,16.809616,302.0167767187152,-44.61141565454986,2.2213681971121972,DCEP
4686549359983127808,21.65371617728482,-72.61615254513144,0.09499221987234396,0.14859207,1.0724135877233865,-1.1395348206400135,18.621956,299.2750074522767,-44.26146851345883,0.79932122515173,ACEP
4687252776861309184,17.870768549591478,-72.6452220864773,-0.036713597535548356,0.030693483,1.0998497032987804,-1.2628695001001005,15.94427,300.84188683951936,-44.401591746757724,,DCEP
5283870493563617920,90.14676472878419,-67.60378231380045,-0.028620643929687183,0.034946695,1.4643107820446801,0.8795104357901101,16.112806,277.5854622309256,-29.749659951844382,2.325482100237304,DCEP
4659394278957715584,84.43499435218277,-67.31319908666852,-0.07001637714383288,0.023481917,1.2397452896689583,0.5071143360585677,14.755175,277.3844896163589,-31.950920392827133,4.648290976701451,DCEP
4651711304024801152,81.75242284598559,-71.6432620719591,-0.0018760966605052207,0.015782554,2.1701121170411537,0.36955096075411675,13.626662,282.60213562836816,-32.25680445008044,16.222908368046948,DCEP
4055743600568397568,267.7264138488474,-31.215268277134662,0.1275900884040022,0.04288836,-4.743989692938482,-7.366929982404136,15.738051,358.6375134750517,-2.155464673651851,21.844777555582183,T2CEP
4658240444651095808,78.18987045149181,-69.26753490746282,-0.05156969324216673,0.03609991,1.6407060753119662,0.23470175089997752,16.180473,280.12388567290884,-33.91464874475777,3.033209445087357,DCEP
4662185320508619648,74.57049796216235,-66.14841279220136,0.034755295951008756,0.021051886,1.6536292481934407,-0.05388975568164418,15.294215,276.82435249504636,-35.98663490319274,4.97320427068186,DCEP
431059964564623744,5.927083152599532,63.90771742335524,0.08343698018802821,0.023806412,-1.5387937658578497,0.011437329004768262,15.346112,119.88826095526278,1.1999601351865812,,DCEP
4321195836644590976,289.75279571582064,16.730278926314615,0.15274687154605154,0.16310991,-1.9396055173276903,-4.053010018332684,17.956614,50.915142759091374,1.6599058011390648,6.094439026431946,T2CEP
5404862853352596736,149.2198278594145,-51.60892065569658,0.10978491889695682,0.01338833,-4.481086333615278,2.359968411302739,13.312052,277.5295848798971,2.4412129619667966,2.6048120377969317,DCEP
4757314207530689920,81.20639895098805,-63.425835306622034,-0.008654331737573613,0.036379136,1.4862994973807093,0.39372286693773006,16.425013,272.9502240085153,-33.691455661787344,,DCEP
5312871354004960256,142.69035438551873,-51.481917043423714,0.25243384045830347,0.016818147,-3.3559613822130068,3.093530604437256,12.967791,274.361185639025,-0.10064292248114265,4.448938219139412,DCEP
4656857121509931776,87.23563524418404,-71.07594873988197,-0.08438543429695983,0.03993204,1.9810508385582728,0.5235133168592512,16.232473,281.65531589871597,-30.602114783833883,,DCEP
6071154530290478592,180.49461962507542,-59.28455834001941,0.13943593652698724,0.04013642,-9.26422319813496,1.3466440411059466,16.212563,296.64406071698806,2.982033093864703,,DCEP
4323347722662858240,292.38445131797135,18.72631235279766,0.029762124166731727,0.0383518,-3.1800258349804706,-6.379049749982337,14.216903,53.860138493016315,0.39625501876344216,18.80076590276883,DCEP
4660264920386099968,83.13141492263254,-66.79049649864771,-0.06329815335136481,0.04583425,1.4799705258263534,0.5170378668836753,16.819645,276.83408159158586,-32.51193532409186,,DCEP
375371414297511808,12.159025578013953,42.26231796591029,-0.45380407028856684,0.71857464,1.449263009161627,-1.2219947415732042,20.405634,122.37810395461624,-20.606419167364088,11.528537485779017,DCEP
5339933251441467904,168.5063757123204,-57.72091187168247,0.2902547184183129,0.021146864,-4.114167968782191,0.02695382248715384,11.453989,290.1954890576323,2.721840049027436,27.562663278568483,T2CEP
4657170241838339968,85.12982972641348,-70.39854802624703,-0.006408142252382218,0.027308831,1.5374105260918847,0.7120620781090508,15.617706,280.9554253015005,-31.364529065638624,,DCEP
4657198657349010176,85.58976400497244,-70.24924250043966,-0.03945272674432325,0.033089727,1.8082273851596466,0.521744023863395,15.845445,280.76097680251047,-31.227904675228316,3.4420643569701057,DCEP
